conference_acronym	conference_name	conference_location
IPMU 2018 	 17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cádiz- Spain
ICBBT- Ei 2017 	 2017 9th International Conference on Bioinformatics and Biomedical Technology (ICBBT 2017)--Ei Compendex and Scopus	Lisbon, Portugal
StoryCase 2012 	 ICCBR-12 Workshop on Stories, Episodes, and Cases (StoryCase)	Lyon, France
IJMA 2016 	 The International Journal of Multimedia & Its Applications - ERA Indexed	N/A
JANT  2016 	 International Journal of Antennas	N/A
IJFLS 2016 	 International Journal of Fuzzy Logic Systems	N/A
ACII 2016 	 Advanced Computational Intelligence: An International Journal	N/A
ICSENT  2016 	 5th International Conference on Software Engineering and New Technologies	ISTANBUL
NIPS	 Workshop on Action & Interaction 2016 : NIPS 2016 Workshop on Action and Interaction	Barcelona, Spain
[ ICMDM ] 2016 	 3rd International Conference on Mechanical Design and Manufacturing - SCOPUS, Ei	Jeju Island, Republic of Korea
SMART 2016 	 SMART 2016 – Scientific Methods in Academic Research and Teaching	Timisoara, Romania
ICMLSC 2017 	 International Conference on Machine Learning and Soft Computing - ACM	Ho Chi Minh City, Vietnam
PAKDD 2017 	 The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
ICAART 2017 	 9th International Conference on Agents and Artificial Intelligence	Porto
ICPRAM 2017 	 International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
CSBio 2016 	 7th International Conference on Computational Systems-Biology and Bioinformatics	University of Macau, Macau
IUI 2017 	 22nd ACM International Conference on Intelligent User Interfaces - Tutorials	Limassol, Cyprus
PlanSIG 2016 	 The 34th Workshop of the UK PLANNING AND SCHEDULING Special Interest Group	Huddersfield, UK
IRRATIONAL 2016 	 IMPERFECT DECISION MAKERS: ADMITTING  REAL-WORLD RATIONALITY	Barcelona
ICPRAM 2017 	 6th International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
ICOAI 2016 	 2016 3th International Conference on Artificial Intelligence (ICOAI 2016)	Limerick City, Ireland
[ ICCIS ] 2016 	 International Conference on Communication and Information Systems	Bangkok, Thailand
FILM 2016 	 Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
IUI  2017 	 22nd ACM International Conference on Intelligent User Interfaces	Limassol, Cyprus
AISTATS 2017 	 The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
ICIMT 2016 	 2016 8th International Conference on Information and Multimedia Technology (ICIMT 2016)	Kuala Lumpur, Malaysia
KRR@SAC 2017 	 Knowledge Representation and Reasoning (track of the 32st ACM/SIGAPP Symposium On Applied Computing)	Marrakech, Morocco
ICORES 2017 	 International Conference on Operations Research and Enterprise Systems	Porto, Portugal
ICAART 2017 	 International Conference on Agents and Artificial Intelligence	Porto, Portugal
MAMLAKE 2017 	 Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
ISW-LOD 2016 	 4th International Workshop on Semantic Web and Linked Open Data	San Jose, Costa Rica
CPSCom 2016 	 The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
GreenCom 2016 	 The 12th IEEE International Conference on Green Computing and Communications	Chengdu, Sichuan, China
iThings 2016 	 The 9th IEEE International Conference on Internet of Things	Chengdu, Sichuan, China
ICCIP - EI, ACM 2016 	 2016 the 2nd International Conference on Communication and Information Processing(ICCIP 2016)--EI, SCOPUS	Singapore
IEEE-ICICM 2016 	 2016 IEEE International Conference on Integrated Circuits and Microsystems (ICICM 2016)--EI & SCOPUS	Chengdu, China
KARE  2016 	 9th International Workshop on Knowledge Acquisition Reuse & Evaluation	Naples, Italy
ICITDA 2016 	 The International Conference on Information Technology and Digital Applications (Indexing: Scopus, Inspec, EI Compendex)	Yogyakarta, Indonesia
PIC 2016 	 The 2016 International Conference on Progress in Informatics and Computing	shanghai
AT 2016 	 INTERNATIONAL CONFERENCE ON AGREEMENT TECHNOLOGIES 	Valencia
IUI 2017 	 22nd ACM International Conference on Intelligent User Interfaces - Workshops	Limassol, Cyprus
EWRL 2016 	 The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
SACCOCO 2017 	 Cognitive Computing Track @ ACM SAC 2017	Marrakech, Morocco
FCST 2016 	 International Conference on Frontier of Computer Science and Technology	Nagasaki, Japan
ICSRS 2016 	 IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
AWRL 2016 	 First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
HTC 2016 	 Humanitarian Technology Conference 2016	Agra, India
LaSh 2016 	 Fifth Workshop on Logic and Search	New York City
CRoNe 2016 	 2nd Congress on Robotics and Neuroscience - Call for posters (extended)	Valparaiso, Chile
AI*AAL.it 2016 	 Second Italian Workshop on Artificial Intelligence for Ambient Assisted Living	Genova, Italy
ICMV 2016 	 EI Compendex & SCOPUS - 2016 The 9th International Conference on Machine Vision (SPIE-ICMV 2016)	Nice, France
EUMAS 2016 	 14th EUROPEAN CONFERENCE ON MULTI-AGENT SYSTEMS	Valencia, Spain
MECN  2016 	 Second International Conference on Mechanical Engineering 	Dubai,UAE
ICTCC 2017 	 3rd International Conference on NaTure of Computation and Communication	Hue City, Vietnam
JSAI-isAI 2016 	 JSAI International Symposia on AI 2016	Yokohama, Japan
BRAIN 2016 	 BRAIN. BROAD RESEARCH IN ARTIFICIAL INTELLIGENCE AND NEUROSCIENCE	N/A
PRASA-RobMech 2016 	 Symposium of the Pattern Recognition Association of South Africa (PRASA) and Conference of Robotics and Mechatronics (RobMech)	Stellenbosch, South Africa
Artificial Intelligence Workshop - ENC 2016 	 Artificial Intelligence Workshop: Methods and applications - At Mexican International Conference on Computer Science 2016 (ENC 2016)	Chihuahua, México
RATIC 2016 	 Workshop on Reasoning about Time in CBR	Atlanta, Georgia
BiSIP 2016 	 Call for Book Chapters: Biomedical Signal and Image Processing in Patient Care	India
ISAIR 2016 	 The 1st International Symposium on Artificial Intelligence and Robotics 2016 	Wuhan, China
CCC@ICCBR  2016 	 Computer Cooking Contest at the 24th International Conference on Case-based Reasoning	Atlanta, Georgia USA
WiML 2016 	 11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
ICDLE 2016 	 2016 7th International Conference on Distance Learning and Education (ICDLE 2016)	Hertfordshire, UK
MIWAI 2016 	 The 10th Multi-disciplinary International Workshop on Artificial Intelligence 	Chiang Mai, Thailand
FETLT 2016 	 Second Workshop on Future and Emerging Trends in Language Technologies, Machine Learning and Big Data	Seville
IEEE CISDA 2016 	 2016 IEEE Symposium on Computational Intelligence for Security and Defense Applications	Athens, Greece
ACML 2016 	 8th Asian Conference on Machine Learning	Hamilton, New Zealand
MIKE 2016 	 The Fourth International Conference on MINING INTELLIGENCE AND KNOWLEDGE EXPLORATION	Mexico City, Mexico
SiPML 2016 	 2016 Workshop on Signal Processing and Machine Learning (SiPML)	 Soonchunhyang (SCH) University, Asan, K
IEEE HPSC  2016 	 The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
IEEE ICRAI 2016 	 2nd International Conference on Robotics and Artificial Intelligence	Islamabad
BigComp Workshop 2017 	 BigComp 2017 Call for Workshop Proposals	Jeju, South Korea
CIIISI 2016 	 III Congreso Internacional de Ingeniería Informática y Sistemas de Información	La Habana, Cuba
Creative Computing 2016 	 Special Issue on Evolutionary Computing for the Creative Industries	N/A
AI 2016 	 The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
ICRMV 2016 	 2016 International Conference on Robotics and Machine Vision (ICRMV 2016)-Scopus, Ei & Web of Science (CPCI)	Moscow, Russia
MECHA 2016 	 Third International Conference on Mechanical Engineering	Dubai,UAE
AISO 2016 	 Second International Conference on Artificial Intelligence and Soft Computing 	Dubai, UAE 
AI-HRI 2016 	 AAAI Fall Symposium on Artificial Intelligence for Human-Robot Interaction	Arlington, VA
SoDM 2016 	 Special Session on Data Mining (in conjunction with CIIS 2016)	Institut Teknologi Brunei, Brunei
PAIS'2016 2016 	 The 2nd International Conference on Pattern Analysis and Intelligent Systems	Khenchela, Algeria
ICMDA 2016 	 2016 International Conference on Mechatronics, Design and Auotmation Engineering (ICMDA 2016)	Moscow, Russia
CIIS 2016 	 Computational Intelligence in Information Systems 	Brunei
AICS 2016 	 24th Irish Conference on Artificial Intelligence and Cognitive Science	Dublin, Ireland
ICCASA  2016 	 5th International Conference on Context-Aware Systems and Applications	Thu Dau Mot City, Vietnam
ICTAI 2016 	 IEEE International Conference on Tools with Artificial Intelligence	San Jose, CA
icaase 2016 	 The 2nd  International Conference on Advanced Aspects of Software Engineering (ICAASE’16)	Constantine- Algerie
BDTA 2016 	 7th EAI International Conference on Big Data Technologies and Applications	SEOUL, SOUTH KOREA
DARS 2016 	 13th International Symposium on Distributed Autonomous Robotic Systems	London, UK
ATSS 2016 	 6th IEEE International Workshop on Artificial Transportation Systems and Simulation	Rio de Janeiro (Brazil)
ICRAE 2016 	 2016 International Conference on Robotics and Automation Engineering (ICRAE 2016)--EI compendex	Jeju Island, Korea
URSW 2016 	 Uncertainty Reasoning for the Semantic Web 2016	Kobe, Japan
ACALCI 2016 	 Australasian Conference on Artificial Life and Computational Intelligence	Canberra, Australia
CITI 2016 	 2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
CCKS 2016 	 China Conference on Knowledge Graph and Semantic Computing	Beijing
AIR 2016 	 Artificial Intelligence and Robotics Conference	Nanjing, china
AIR 2016 	 Artificial Intelligence and Robotics Conference	Nanjing, china
IDAP 2016 	 International Artificial Intelligence and Data Processing Symposium	 Malatya, Turkey
ICCIA-Ei 2016 	 EI compendex--2016 International Conference on Computational Intelligence and Applications (ICCIA 2016)	Jeju Island, Korea
AITIC 2016 	 2016 Applied Informatics and Technology Innovation Conference	Newcastle, Australia
SKG 2016 	 The 12th International Conference on Semantics, Knowledge and Grids on Big Data	Beijing, China
CIG / CEEC 2016 	 Special Session on Computational Intelligence and Games at CEEC 2016	Colchester, UK
ICA 2016 	 International Conference on Agents	Matsue, Japan
ICITE  2016 	 2016 International Conference on Intelligent Transportation Engineering (ICITE 2016)--IEEE Xplore, Ei Compendex	Singapore
CRC--Ei 2016 	 (CRC 2016)2016 International Conference on Cybernetics, Robotics and Control 	Hong Kong
ICCES 2016 	 International Conference of Computing for Engineering and Sciences	Barcelona
CMAME 2016 	 2016 4th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2016) -- Ei & Scopus	Chengdu, China
CEEC 2016 	 8th Computer Science and Electronic Engineering Conference	Colchester, UK
GCAI 2016 	 GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
AFRICOMM 2016 	 8th EAI International Conference on e‐Infrastructure and e‐Services for Developing Countries	Ouagadougou, Burkina Faso (West Africa)
PLP 2016 	 The Third Workshop on Probabilistic Logic Programming	London, UK
JELIA 2016  2016 	 15th European Conference On Logics In Artificial Intelligence	Larnaca
SYNASC 2016 	 CFP 18th International Symposium on    Symbolic and Numeric Algorithms for Scientific Computing          September 24-27, 2016, Timisoara, Romania	Timisoara, Romania
TIME 2016 	 23rd International Symposium on Temporal Representation and Reasoning	Copenhagen, Denmark
ACIS 2016 	 The Fifth Asian Conference on Information Systems	Krabi, Thailand
KDWEB 2016 	 2nd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
ICMVA 2016 	 2016 2nd International Conference on Machine Vision and Applications (ICMVA 2016)	Beijing, China
AmILP@ECAI 2016 	 First International Workshop on Ambient Intelligence for Large Premises	The Hague, Netherlands
EGPAI 2016 	 1st International Workshop on Evaluating General-Purpose AI	The Hague, The Netherlands
PrAISe 2016 	 Workshop on AI for Privacy and Security	The Hague, Holland
IDEAL  2016 	 17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
ICIVC 2016 	 2016 5th IEEE International Conference on Image, Vision and Computing (ICIVC 2016)--Ei Compendex	Portsmouth, UK
CACRE 2016 	 EI & Scopus--2016 International Conference on Automation, Control and Robotics Engineering (CACRE 2016)	Kitakyushu, Japan
ICIAE 2016 	 2016 International Conference on Intelligent Automotive Engineering (ICIAE 2016)--IEEE Xplore & Ei Compendex	Singapore
ICAIR 2016 	 ACM-2016 International Conference on Artificial Intelligence and Robotics ( ICAIR 2016)--EI &Scopus	Kitakyushu, Japan
COREDEMA @ ECAI 2016 	 2nd International Workshop on Conflict Resolution in Decision Making	The Hague, The Netherlands
ICSR 2016 	 The 8th International Conference on Social Robotics	Kansas City, USA
IoA -  2016 	 The IEEE/ACM/WIC Workshop on the Internet of Agents	Omaha, Nebraska USA
ICEDA 2016 	 2016 International Conference on Engineering Design and Analysis (ICEDA 2016)--scopus	Langkawi,Malaysia
ICIMN--Ei 2016 	 SCOPUS & Ei--2016 International Conference on Intelligent Materials and Nanomaterials (ICIMN 2016)	Mexico City, Mexico
SI	AICV 2016 : Computers & Electrical Engineering (Elsevier)	N/A
ENIC 2016 	 The Third European Network Intelligence Conference	Wrocław, Poland
ICCBB 2016 	 Scopus--2016 International Conference on Computational Biology and Biological Engineering-ICCBB 2016	Langkawi, Malaysia
Infer 2016 	 International Workshop on Inference and Privacy in a Hyperconnected World	Darmstadt, Germany
Industry Track RuleML 2016 	 10th International Web Rule Symposium (RuleML) 2016 Industry Track	Stonybrook, NY
RuleML 2016 	 CFP5 - RuleML and DecisionCamp 2016 Call for Participation	Stony Brook University, USA
BSP 2016 	 Biometric Security and Privacy in The Big Data Era -- Call for Chapters	N/A
PR4MCA 2016 	 The 2nd International Workshop on Pattern Recognition for Multimedia Content Analysis	Hanoi, VietNam
ACMME 2016 	 Ei,ISI,Scopu--2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)	Kuala Lumpur, Malaysia
LIIE 2016 	 Legal Issues in Intelligent Environments'16	London, UK
CD 2016 	 The 2016 ACM SIGKDD Workshop on Causal Discovery 	San Francisco, California
SASO 2016 	 IEEE International Conference on Self-Adaptive and Self-Organizing Systems	Augsburg, Germany
ISSEA 2016 	 Special Session on Intelligent Systems and Software Engineering Advances	Druskininkai, Lithuania
WISTIPS 2016 	 INFORMATION AND SOFTWARE TECHNOLOGIES FOR INTELLIGENT POWER SYSTEMS	Druskininkai, Lithuania
SUM 2016 	 Scalable Uncertainty Management	Nice, France
DS 2016 	 19th International Conference on Discovery Science	Bari, Italy
SocInf 2016 	 2nd International Workshop on Social Influence Analysis	New York City
HLT-IA 2016 	 Workshop on Human Language Technology and Intelligent Applications (IJCAI 2016 Workshop)	New York, USA, July 9-15, 2016
ECAI 2016 	 8th International Conference on Electronics, Computers and Artificial Intelligence	Ploiesti, Romania
ACIRS 2016 	 IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	Tokyo, Japan
ILP 2016 	 The 26th International Conference on Inductive Logic Programming	London, UK
ICRCA 2016 	 2016 International Conference on Robot Control and Automation (ICRCA 2016)--EI, SCOPUS & ISI	Tokyo, Japan
CCIA 2016 	 19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
AIoT 2016 	 Special session “Affordances in the Internet of Things” (AIoT) at COIOTE ‘16	Covilhã, Portugal
JDSA Speical Issue 2016 	 Special issue on Causal Discovery for the Journal of Data Science and Analytics	N/A
IBERAMIA 2016 	 15th Ibero-American Conference on Artificial Intelligence	San Jose, Costa Rica
STAIRS 2016 	 European Starting AI Researcher Symposium	The Hague, Holland
ICMAE-EI 2016 	 EI--2016 The 7th International Conference on Mechanical and Aerospace Engineering (ICMAE 2016)	London, UK
ICCBR 2016 	 International Conference on Case Base Reasoning	Atlanta, Georgia (USA)
NSAIS 2016 	 North-European Society for Adaptive and Intelligent Systems Workshop	Lappeenranta
ICIIL 2016 	 ICIIL 2016 2nd International Conference on Innovation and Industrial Logistics--EI Compendex 	Lucerne, Switzerland 
ICSAE 2016 	 ICSAE 2016 2nd International Conference on Sustainable Automotive Engineering--EI Compendex	Lucerne, Switzerland 
ICEMT 2016 	 2016 7th International Conference on Education and Management Technology (ICEMT 2016	Shanghai, China
ICVED 2016 	 ICVED 2016 2nd International Conference on Vehicle Engineering and Design--EI Compendex	Lucerne, Switzerland 
6th ICITCS 2016 	 International Conference on IT Convergence and Security	Prague, Czech Republic
ICTTE-Ei 2016 	 EI Compendex--(ICTTE 2016)2016 5th International Conference on Transportation and Traffic Engineering	Lucerne, Switzerland 
HINA 2016 	 4th IJCAI Workshop on Heterogeneous Information Network Analysis (HINA) 	New York City, NY, USA
IoTAAL - PIMRC 2016 	 2nd IEEE International Workshop on Internet of Things for Ambient Assisted Living (IoTAAL) - IEEE PIMRC 2016, Valencia, Spain - Sept 4, 2016	Valencia, Spain
KI 2016 	 39th German Conference on Artificial Intelligence / ÖGAI-Tagung 2016	Klagenfurt, Austria
AIMA 2016 	 6th International Workshop on Artificial Intelligence in Medical Applications	Gdansk, Poland
DSTUI 2016 	 1st International Workshop on Dealing with Spatial and Temporal Uncertainty and Imprecision	Gdansk, Poland
AIRIM 2016 	 1st International Workshop on AI aspects of Reasoning, Information, and Memory	Gdansk, Poland
AIMaViG 2016 	 2nd International Workshop on Artificial Intelligence in Machine Vision and Graphics	Gdansk, Poland
WCO 2016 	 9th International Workshop on Computational Optimization	Gdansk, Poland
AAIA 2016 	 11th International Symposium Advances in Artificial Intelligence and Applications	Gdansk, Poland
PRIMA 2016 	 Principles and Practice of Multi-Agent Systems	Phuket, THAILAND
MT4BD 2016 	 3nd Workshop on New Methods and Tools for Big Data 	Thessaloniki, Greece
MHDW 2016 	 5th Mining Humanistic Data Workshop	Thessaloniki, Greece
LANMR  2016 	 LANMR 2016 : Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning 2016	Puebla
ICKD 2016 	 Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, China
CIG 2016 	 IEEE Computational Intelligence and Games Conference	Santorini Island, Greece
ATT 2016 	 Ninth International Workshop on Agents in Traffic and Transportation	New York City
IVA 2016 	 Intelligent Virtual Agents Conference 	Los Angeles, CA, USA
NN in Games 2016 	 Workshop on Neural Networks in Games at the Computers and Games Conference 2016 Leiden	Leiden, The Netherlands
BeyondLabeler 2016 	 IJCAI 2016 Workshop: Human is More Than a Labeler 	New York City, NY, USA
AIAP 2016 	 3rd International Conference on Artificial Intelligence and Applications	Vienna , Austria
CCSEIT 2016 	 6 th International Conference on Computer Science, Engineering and Information Technology	vienna, Austria
ICAME 2016 	 SCOPUS & Ei--2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)	Singapore
ICROM 2016 	 ICROM 2016 The 3rd International Conference on Robotics and Mechatronics(SCOPUS, Ei Compendex)	Singapore
ICCSE 2016 	 The 2016 International Conference on Crowd Science and Engineering	The University of British Columbia
ICONIP 2016 	 The 23rd International Conference on Neural Information Processing	Kyoto, Japan
SPECOM 2016 	 18th International Conference on Speech and Computer	Budapest, Hungary
ICEESM 2016 	 (ICEESM 2016) 2016 International Conference on Energy Engineering and Smart Materials-- EI &Scopus	Bangkok, Thailand
DeepRL 2016 	 Deep Reinforcement Learning Workshop @IJCAI 2016	New York City, New York, USA
IJCAI-KDHEALTH 2016 	 Workshop on Knowledge Discovery in Healthcare Data	New York City
Bridging 2016 	 Bridging the Gap between Human and Automated Reasoning	an IJCAI-16 workshop in New York
IML 2016 	 IJCAI International Workshop on Interactive Machine Learning	New York, USA
HSP@HCIST 2016 	 Healthy and Secure People	Porto, Portugal
AI Matters - Apr 2016 	 AI Matters: the ACM SIGAI Newsletter — Call for Doctoral Abstracts	N/A
ECAI 2016 	 European Conference on Artificial Intelligence	The Hague, the Netherlands
ALICE 2016 	 6th International Workshop on Adaptive Learning via Interactive, Collaborative and Emotional approaches	Ostrava, Czech Republic
SPCIES 2016 	 SPCIES 2016 International Conference on Security and Performances In Complex Infrastructures and Emerging Systems	Warsaw, Poland
IJCAI-SBD 2016 	 IJCAI 2016 Workshop on Scholarly Big Data: AI Perspectives, Challenges, and Ideas 	New York, NY
IMS 2016 	 First International Workshop on Intelligent Mentoring Systems in conjunction with ITS2016 	Zagreb, Croatia 
SocialNLP@IJCAI 2016 	 The 4th International Workshop on Natural Language Processing for Social Media 2016	New York City
AIC 2016 	 AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	New York
NN 2016 	 The First International Conference on Neural Networks and Applications	Tehran, Iran (with 3 Online Sessions)
AI & FL 2016 	 Fourth International Conference of Artificial Intelligence and Fuzzy Logic	Dubai , UAE
CSE 2016 	 Fourth International Conference on Computational Science and Engineering	Duai, UAE
GECCOsws 2016 	 GECCO Student Workshop	Denver, CO
CCKS-Challenge 2016 	 CCKS2016 - Call for Task Proposals	Beijing
ICMSI-Ei 2016 	 SCOPUS, Ei--2016 International Conference on Materials and Structural Integrity (ICMSI 2016)	Paris, France
ICMIP-Ei 2016 	 EI Compendex--ICMIP 2016 the first International Conference on Multimedia and Image Processing	Bandar Seri Begawan, Brunei
ICMSC--EI 2016 	 EI &Scopus--2016 International Conference on Mechanical, System and Control Engineering (ICMSC 2016)	Moscow, Russia
ICOAE 2016 	 2016 International Conference on Aerospace Engineering (ICOAE 2016) - IEEE Xplore and Ei Compendex	Moscow, Russia
AGI 2016 	 Artificial General Intelligence	New York City, USA
JFSMA 2016 	  Journées Francophones sur les Systèmes Multi-Agents	Rouen
DS4IDS@ICCSA 2016 	 Data Science for Intelligent Decision Support	Beijing, China
IJMISSP 2016 	 International Journal of Machine Intelligence and Sensory Signal Processing	N/A
SLPCS 2016 	 Workshop on Semantic Spaces at the Intersection of NLP, Physics and Cognitive Science	Glasgow, UK
SEPLN 2016 	 32nd INTERNATIONAL CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING (SEPLN 2016)	Salamanca
INISTA 2016 	 International Symposium on INnovations in Intelligent SysTems and Applications	Sinaia, Romania
ICCS  2016 	 ICCS 2016 : 18th International Conference on Cognitive Systems	Istanbul 
AIC 2016 	 AIC 2016 - 4th International Workshop on Artificial Intelligence and Cognition - July 2016, New York (co-located with IJCAI 16)	New York City
AIVAHC 2016 	 Affective Interaction with Virtual Assistants within the Healthcare Context	Cancun, Mexico
SAB 2016 	 The 14th International Conference on the Simulation of Adaptive Behavior: From Animals to Animats	Aberystwyth University, Aberystwyth, UK
MCMC 2016 	 2016 International Conference on Multi-lingual Computer Mediated Communication (MCMC 2016)	Hong Kong
CACS 2016 	 Fourth Annual Conference on Advances in Cognitive Systems	Evanston, Illinois
CSMC 2016 	 1st Conference on Computer Simulation of Musical Creativity	Huddersfield
WISA 2016 	 8th Workshop on Intelligent Systems and Applications	Gran Canaria, Canary Islands, Spain
AIFZ 2016 	 Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	Chennai , India
PRICAI 2016 	 The 14th Pacific Rim International Conference on Artificial Intelligence	Phuket, Thailand
AI Matters - Mar 2016 	 AI Matters: the ACM SIGAI Newsletter — Call for Doctoral Abstracts	N/A
IE 2016 	 12th International Conference on Intelligent Environments	London, UK
IROS 2016 	 IEEE/RSJ International Conference on Intelligent Robots and Systems	Daejeon, Korea
UAI 2016 	 Conference on Uncertainty in Artificial Intelligence	New York City
IVUS 2016 	 Information Society and University Studies 	Kaunas, Lithuania 
ICARSC 2016 	 IEEE International Conference on Autonomous Robot Systems and Competitions	Bragança - Portugal
ASCE-ASME	 MRRA 2016 : ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems - Special Issue on Metaheuristics in Reliability and Risk Analysis	N/A
SWARM 2016 	 Special Issue on Soft Computing Applied to Swarm Robotics	N/A
ICMMME--Ei 2016 	 2016 Int. Conf. on Mechanical, Materials, and Manufacturing Engineering (ICMMME 2016)--EI&SCOPUS	Seoul, Korea
AIAPP 2016 	 Third International Conference on Artificial Intelligence and Applications	Geneva , Switzerland
JFPC 2016 	 Douzièmes Journées Francophones de Programmation par Contraintes	Montpellier, France
PKAW 2016 	 Pacific Rim Knowledge Acquisition Workshop	Phuket, Thailand
COOS 2016 	 The 4th International Workshop on Collaborative Online Organizations	Singapore
WEIN 2016 	 The 6th International Workshop on Emergent Intelligence on Networked Agents	Singapore
ICACNI 2016 	 4th International Conference on Advanced Computing, Networking, and Informatics, Springer	Rourkela, Odisha, India
EESMS 2016 	 2016 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems	Bari, Italy
SysInt 2016 	 3rd International Conference on System-Integrated Intelligence: New Challenges for Product and Production Engineering	Paderborn, Germany
ICSIBO 2016 	 International Conference on Swarm Intelligence Based Optimization	Mulhouse, France
ICCRE 2016 	 2016 International Conference on Control and Robotics Engineering (ICCRE 2016)--IEEE, Ei	Singapore
ICMEAE 2016 	 2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)--Ei Compendex & Scopus	Singapore
IEEE ICCRE 2016 	 2016 IEEE International Conference on Control and Robotics Engineering (ICCRE 2016)--Ei	Singapore
EXPLORE 2016 	 EXPLORE 2016 @ AAMAS 2016: The 3rd Workshop on Exploring Beyond the Worst Case in Computational Social Choice	Singapore
IAC3T 2016 	 International Conference on Computing, Control and Communication Technology	Allahabad, India
ICIST 2016 	 6th International Conference on Information Systems and Technologies	Barcelona
GECCO 2016 	 The Genetic and Evolutionary Computation Conference 	Denver, CO
IJCAI 2016 	 Twenty-Fifth International Joint Conference on Artificial Intelligence	New York City, US
ALA 2016 	 Adaptive Learning Agents	Singapore
IVAE 2016 	 1st Workshop on Intelligent Virtual and Augmented Environments 	Greenville, South Carolina, USA
WCCI 2016 	 2016 IEEE World Congress on Computational Intelligence	Vancouver, Canada
JCMS 2016 	 Journal of Creative Music Systems - Inaugural Issue	N/A
Summer school 2016 	 Sixth Summer School in Cognitive Science: Reasoning	UQAM, Montreal, Qc. Canada
Distributed Neural Networks@IJCNN 2016 	 Special Session on Distributed Learning Algorithms for Neural Networks	Vancouver (Canada)
SIoIS 2016 	 [JoSETAP-SISPress] Special Issues on Information Systems	N/A
BBC 2016 	 9th Workshop on Biomedical and Bioinformatics  Challenges for Computer Science - BBC2016	San Diego, CA, USA
PEOCO 2016 	 2016 10th International Power Engineering and Optimization Conference (PEOCO2016) 	Shah Alam, Selangor, Malaysia
ICDMM 2016 	 ICDMM 2016 International Conference on Design, Materials and Manufacturing--SCOPUS & Ei	Kuala Lumpur, Malaysia
ITS 2016 	 13th International Conference on Intelligent Tutoring System	Zagreb Croatia
AI 2016 	 29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
ParLearning 2016 	 The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
ARIA 2016 	 Third International Conference on Artificial Intelligence & Applications 	Sydney , Australia
WOSCIA 2016 	 Workshop on Smart Cities and Intelligent Agents	Seville
KES-IDT 2016 	 8th International KES Conference on Intelligent Decision Technologies	Puerto de la Cruz, Tenerife, Spain
SE4GT'16@ISAmI 2016 	 Workshop on Smart Environments for Gerontechnology and e-Therapy (SE4GT'16)@ISAmI'16	Sevilla, Spain
PCSC 2016 	 Philippine Computing Science Congress	Palawan, Philippines
MLDM 2016 	 Machine Learning and Data Mining in Pattern Recognition	New York, USA
Cognition and Communication 2016 	 Chapter Proposals for Cognition and Communication in Extraterrestrial Intelligence	N/A
Insight 2016 	 Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
PAAMS 2016 	 14th International Conference on Practical Applications of Agents and Multiagent Systems	Seville (Spain)
ICCSA 2016 	 International Conference on Computer Science's Complex Systems and their Applications	Oum El Bouaghi, Algeria
KES-IDT  IS 04 2016 	 Intelligent Data Analysis and Applications	Tenerife, Spain
CIAAL 2015 	 Computational Intelligence for Ambient Assisted Living	N/A
